token_a,token_b,count
every,year,158
max,pro,150
like,look,140
iphone,phone,120
iphone,like,120
iphone,pro,111
apple,iphone,104
phone,year,103
iphone,new,102
new,phone,96
iphone,look,92
iphone,year,92
like,phone,91
apple,phone,90
new,year,85
every,phone,78
look,phone,75
apple,year,72
apple,new,72
iphone,still,67
every,new,67
camera,iphone,67
iphone,max,62
button,camera,62
camera,new,62
apple,camera,61
apple,samsung,58
camera,like,56
apple,like,56
phone,pro,56
camera,phone,56
camera,look,55
design,iphone,55
every,iphone,53
upgrade,year,51
get,phone,50
like,new,49
iphone,samsung,49
people,phone,49
get,iphone,48
camera,layout,46
people,year,46
nothing,phone,45
apple,every,45
apple,design,45
pro,year,44
make,phone,43
iphone,upgrade,43
new,pro,43
buy,iphone,43
iphone,people,42
every,people,41
camera,pro,41
iphone,need,40
apple,get,40
need,phone,40
button,new,40
buy,year,39
apple,pro,39
change,iphone,39
get,year,39
phone,samsung,39
iphone,model,38
apple,make,38
like,samsung,37
android,phone,36
like,pro,36
look,pro,36
design,new,35
buy,phone,35
button,capture,35
new,one,35
apple,look,35
need,new,35
look,new,35
iphone,one,35
iphone,since,35
change,year,34
pro,still,34
apple,one,34
apple,still,34
back,iphone,34
iphone,make,34
apple,people,34
got,iphone,34
one,phone,34
model,pro,34
better,iphone,34
release,year,33
iphone,nothing,33
get,new,33
buy,new,33
phone,time,32
need,year,32
iphone,plus,32
like,year,32
model,new,32
every,upgrade,32
phone,upgrade,32
get,pro,32
apple,change,31
pro,upgrade,31
android,iphone,30
button,shutter,30
max,phone,30
iphone,really,30
going,iphone,30
change,design,30
look,samsung,30
every,release,30
new,people,30
iphone,want,30
phone,really,30
get,one,30
one,year,30
phone,still,30
every,need,29
iphone,time,29
better,camera,29
model,phone,29
change,phone,29
change,new,29
last,year,29
iphone,think,29
even,iphone,29
phone,want,28
iphone,use,28
iphone,would,28
make,new,28
buy,every,28
design,like,28
buy,people,28
max,still,28
like,one,27
new,nothing,27
every,like,27
iphone,iphones,27
look,model,27
apple,button,27
make,year,27
phone,would,27
apple,thing,27
get,like,27
iphone,old,27
iphone,user,27
case,phone,27
model,year,26
iphone,know,26
iphone,thing,26
new,would,26
still,year,26
design,look,26
need,pro,25
come,iphone,25
phone,thing,25
apple,even,25
iphone,much,25
iphone,screen,25
like,people,25
apple,going,25
like,model,25
apple,would,25
design,phone,25
feel,like,25
every,get,25
iphone,release,25
apple,back,24
even,phone,24
change,every,24
camera,design,24
phone,think,24
also,iphone,24
apple,buy,24
camera,year,24
look,year,24
button,like,24
apple,need,24
max,year,24
new,really,24
old,phone,23
apple,release,23
people,upgrade,23
want,year,23
would,year,23
like,would,23
apple,user,23
got,phone,23
phone,release,23
got,pro,23
old,year,23
new,release,23
android,apple,23
every,one,23
next,year,23
buy,one,22
need,upgrade,22
best,iphone,22
change,look,22
back,camera,22
apple,think,22
android,like,22
bump,camera,22
iphone,using,22
back,phone,22
apple,really,22
apple,nothing,22
like,nothing,22
thing,year,22
even,year,22
change,like,22
get,still,21
camera,one,21
phone,use,21
like,make,21
battery,iphone,21
apple,innovation,21
apple,fan,21
need,people,21
camera,model,21
every,make,21
feel,phone,21
apple,come,21
iphones,phone,21
camera,video,21
iphone,video,21
better,phone,21
case,iphone,21
also,phone,21
camera,change,21
button,side,21
battery,phone,21
change,pro,20
iphones,new,20
much,phone,20
look,nothing,20
new,old,20
iphone,work,20
better,pro,20
company,phone,20
iphone,layout,20
pro,would,20
new,thing,20
iphones,year,19
buy,pro,19
iphone,last,19
camera,would,19
back,like,19
apple,better,19
think,year,19
get,people,19
new,think,19
phone,user,19
apple,max,19
first,iphone,19
new,want,19
every,model,19
apple,product,19
apple,model,19
like,max,18
button,would,18
feel,iphone,18
like,think,18
iphone,latest,18
know,year,18
button,pro,18
apple,company,18
iphones,like,18
change,people,18
apple,keep,18
look,one,18
design,samsung,18
pro,think,18
like,really,18
one,still,18
phone,point,18
get,make,18
button,phone,18
pro,vision,18
apple,upgrade,18
iphone,mean,18
camera,make,18
later,lew,18
got,year,18
get,would,18
one,pro,18
like,screen,17
going,pro,17
last,phone,17
know,new,17
know,phone,17
apple,want,17
make,one,17
iphone,lol,17
case,new,17
button,iphone,17
apple,intelligence,17
every,would,17
camera,samsung,17
iphones,people,17
since,year,17
keep,phone,17
know,like,17
new,still,17
like,still,17
apple,never,17
apple,got,17
iphone,wait,17
get,max,17
get,think,17
battery,year,17
layout,new,17
phone,way,17
many,phone,17
company,new,17
samsung,year,17
keep,year,17
making,phone,17
different,phone,17
iphone,way,17
android,look,17
antenna,button,17
phone,video,17
every,thing,17
max,new,17
better,look,17
got,max,17
change,nothing,17
like,thing,16
company,every,16
better,much,16
time,year,16
model,need,16
another,year,16
camera,thing,16
camera,screen,16
new,upgrade,16
camera,max,16
getting,iphone,16
changed,iphone,16
phone,screen,16
camera,get,16
every,iphones,16
iphone,see,16
apple,money,16
new,screen,16
phone,used,16
like,much,16
every,want,16
look,really,16
pro,want,16
camera,people,16
button,think,16
get,want,16
people,thing,16
company,year,16
money,year,16
like,need,16
pro,screen,16
really,year,16
camera,nothing,16
design,year,16
button,dedicated,16
iphone,tell,15
buy,want,15
new,video,15
apple,time,15
upgrading,year,15
even,one,15
plus,pro,15
every,latest,15
apple,use,15
get,upgrade,15
iphone,something,15
pro,video,15
apple,way,15
camera,vision,15
going,year,15
apple,old,15
base,model,15
buying,phone,15
phone,since,15
come,phone,15
upgrade,want,15
apple,feature,15
phone,work,15
enough,iphone,15
going,new,15
max,upgrade,15
apple,iphones,15
iphone,love,15
every,samsung,15
case,later,15
getting,phone,15
camera,capture,15
better,samsung,15
good,iphone,15
always,iphone,15
lol,phone,15
day,iphone,15
could,iphone,15
point,year,15
even,new,15
layout,look,15
people,still,15
dynamic,island,15
every,look,15
getting,pro,15
like,user,15
people,samsung,14
button,extra,14
better,max,14
buy,like,14
phone,using,14
first,phone,14
camera,going,14
come,year,14
apple,screen,14
look,plus,14
iphone,looking,14
innovation,year,14
apple,since,14
iphone,version,14
buy,change,14
like,upgrade,14
max,model,14
phone,tell,14
look,max,14
camera,really,14
iphone,point,14
new,something,14
releasing,year,14
got,new,14
still,upgrade,14
iphone,probably,14
case,make,14
new,time,14
iphone,money,14
different,iphone,14
apple,last,14
pro,samsung,14
apple,device,14
iphone,say,14
iphone,let,14
always,apple,14
even,get,14
button,video,14
design,people,14
look,make,14
get,model,14
always,new,14
get,look,14
gon,iphone,14
good,pro,14
iphone,never,14
layout,pro,14
best,phone,14
camera,shutter,14
camera,know,14
iphone,well,14
apple,made,14
android,better,14
change,make,14
iphone,switch,13
use,year,13
anymore,apple,13
like,use,13
every,really,13
also,samsung,13
max,one,13
yeah,year,13
also,got,13
next,pro,13
android,user,13
pro,really,13
new,samsung,13
phone,see,13
pro,since,13
every,still,13
buy,know,13
product,year,13
max,think,13
apple,much,13
many,year,13
much,year,13
every,know,13
one,want,13
look,think,13
back,year,13
better,like,13
device,phone,13
iphone,might,13
like,work,13
galaxy,samsung,13
get,need,13
iphone,keep,13
iphone,making,13
get,really,13
day,phone,13
iphone,upgrading,13
flip,phone,13
layout,phone,13
something,year,13
apple,lol,13
actually,iphone,13
get,samsung,13
make,people,13
iphone,someone,13
much,pro,13
get,old,13
another,apple,13
therapy,unbox,13
latest,phone,13
apple,point,13
like,time,13
always,like,13
apple,know,13
still,using,13
better,way,13
better,new,13
enough,phone,13
going,like,13
apple,feel,13
model,one,13
another,phone,13
different,look,13
like,small,13
design,nothing,13
wait,year,13
another,iphone,13
make,pro,13
battery,life,13
also,pro,13
feel,would,13
every,time,13
apple,see,13
people,release,13
battery,health,13
even,like,13
feature,new,12
new,update,12
camera,much,12
apple,different,12
best,ever,12
changed,since,12
camera,changed,12
battery,camera,12
good,year,12
model,would,12
feature,iphone,12
better,year,12
max,screen,12
greatest,latest,12
latest,year,12
bro,iphone,12
better,think,12
phone,plus,12
even,make,12
every,think,12
iphone,used,12
battery,pro,12
made,phone,12
still,use,12
buy,still,12
already,iphone,12
feature,year,12
every,pro,12
one,people,12
look,people,12
people,want,12
one,would,12
make,would,12
apple,good,12
factor,form,12
even,pro,12
cmf,phone,12
like,old,12
make,money,12
get,got,12
life,phone,12
pro,switch,12
like,release,12
latest,people,12
apple,color,12
design,time,12
every,releasing,12
like,lol,12
dont,iphone,12
iphone,many,12
think,would,12
apple,making,12
brand,phone,12
need,release,12
galaxy,iphone,12
old,people,12
always,phone,12
get,time,12
max,plus,12
good,phone,12
apple,day,12
apple,layout,12
device,samsung,12
always,year,12
new,since,12
pro,using,12
buying,iphone,12
much,think,12
feel,new,12
pro,time,12
change,model,12
change,need,12
spatial,video,12
layout,like,12
company,like,12
plus,still,12
know,people,12
like,point,12
going,look,12
phone,small,12
people,time,12
people,pro,12
buy,get,12
buy,max,12
like,plus,11
latest,need,11
button,photo,11
even,need,11
know,look,11
every,point,11
model,plus,11
back,going,11
apple,first,11
