term,score,rank
iphone,0.30372058679724473,1
pro,0.24297646943779577,2
model,0.2126044107580713,3
color,0.19741838141820905,4
look,0.19741838141820905,5
phone,0.18223235207834682,6
like,0.18223235207834682,7
black,0.18223235207834682,8
going,0.16704632273848458,9
got,0.16198431295853052,10
apple,0.15186029339862236,11
case,0.15186029339862236,12
obviously,0.13667426405876013,13
little,0.13667426405876013,14
one,0.13667426405876013,15
