term,score,rank
pro max,0.020764008275774883,1
look like,0.016009349069020976,2
every year,0.015563191071265732,3
iphone pro,0.01029900885587912,4
new phone,0.006476626745218975,5
nothing phone,0.006391225161956064,6
capture button,0.006091240926403535,7
new iphone,0.00573050601861739,8
like iphone,0.005093692935375588,9
camera layout,0.004854609178133231,10
