term,score,rank
iphone,0.05447006060095943,1
phone,0.03309457481669851,2
apple,0.032212390541498735,3
like,0.029531035696840596,4
pro,0.0275451029206206,5
look,0.026210533905471244,6
year,0.02495043735566863,7
camera,0.023933235880124748,8
new,0.02259691566814073,9
button,0.019523012177289557,10
samsung,0.017384736935439734,11
max,0.017247136870934925,12
still,0.01668133454890698,13
every,0.016450560203219205,14
get,0.01562946605803962,15
